neg,neu,pos,compound
0.131,0.79,0.079,-0.7131
0.157,0.683,0.159,0.651
0.082,0.754,0.163,0.9927
0.149,0.711,0.14,-0.973
0.093,0.652,0.255,0.991
0.142,0.662,0.195,0.9993
0.079,0.689,0.231,0.9997
0.12,0.673,0.208,0.9998
0.06,0.797,0.143,0.9995
0.14,0.74,0.12,-0.6114
0.217,0.71,0.074,-0.926
0.061,0.8,0.139,0.9583
0.036,0.835,0.128,0.903
0.113,0.728,0.159,0.9976
0.095,0.675,0.231,0.9987
0.112,0.716,0.172,0.9961
0.159,0.707,0.134,-0.9819
0.135,0.707,0.158,0.204
0.187,0.72,0.093,-0.9908
0.16,0.704,0.136,-0.9977
0.08,0.751,0.169,0.9751
0.103,0.718,0.179,0.9957
0.117,0.693,0.191,0.9984
0.0,0.787,0.213,0.4019
0.141,0.69,0.169,0.9864
0.121,0.698,0.181,0.9882
0.129,0.65,0.221,1.0
0.102,0.67,0.229,0.9651
0.15,0.727,0.124,-0.9997
0.071,0.743,0.186,0.9917
0.187,0.692,0.121,-0.9994
0.062,0.737,0.201,0.999
0.149,0.685,0.166,0.8324
0.109,0.712,0.179,0.9997
0.188,0.749,0.063,-0.9932
0.157,0.76,0.084,-0.9805
0.133,0.775,0.092,-0.9982
0.14,0.75,0.11,-0.9861
0.122,0.763,0.115,-0.6932
0.079,0.654,0.267,0.9997
0.133,0.696,0.171,0.8977
0.107,0.85,0.043,-0.9121
0.169,0.699,0.132,-0.8594
0.168,0.716,0.116,-0.9995
0.122,0.649,0.229,0.999
0.093,0.732,0.175,0.9958
0.073,0.749,0.178,0.9975
0.137,0.721,0.142,0.1771
0.171,0.678,0.151,-0.9883
0.136,0.694,0.17,0.9995
0.067,0.666,0.267,0.9945
0.173,0.683,0.143,-0.9952
0.143,0.759,0.098,-0.6094
0.154,0.72,0.126,-0.9653
0.122,0.683,0.196,0.9557
0.131,0.674,0.195,0.7313
0.177,0.605,0.218,0.7849
0.1,0.716,0.184,0.9986
0.09,0.859,0.051,-0.4404
0.137,0.712,0.151,0.984
0.143,0.67,0.187,0.9975
0.158,0.677,0.165,-0.6477
0.142,0.692,0.166,0.9534
0.069,0.754,0.177,0.9997
0.226,0.68,0.095,-0.992
0.11,0.708,0.182,0.9986
0.254,0.66,0.086,-0.7458
0.119,0.801,0.08,-0.1568
0.143,0.591,0.265,0.9708
0.04,0.834,0.125,0.9729
0.132,0.702,0.166,0.8203
0.099,0.696,0.205,0.9997
0.196,0.714,0.09,-0.9906
0.083,0.714,0.204,0.9963
0.07,0.833,0.097,0.9102
0.112,0.756,0.132,0.9944
0.088,0.731,0.181,1.0
0.126,0.718,0.156,0.9997
0.13,0.704,0.165,0.9628
0.12,0.755,0.125,0.9233
0.079,0.739,0.182,0.9141
0.184,0.649,0.167,-0.9506
0.228,0.708,0.065,-0.9578
0.111,0.74,0.149,0.9882
0.134,0.663,0.203,0.9993
0.161,0.739,0.1,-0.9152
0.099,0.721,0.18,0.9983
0.173,0.739,0.088,-1.0
0.11,0.811,0.079,-0.3291
0.11,0.728,0.162,0.9997
0.102,0.722,0.176,0.9044
0.199,0.633,0.168,-0.9871
0.134,0.712,0.153,0.9906
0.207,0.704,0.089,-0.9613
0.112,0.74,0.148,0.9973
0.159,0.702,0.139,-0.4085
0.144,0.675,0.181,0.9985
0.121,0.741,0.138,0.9303
0.156,0.648,0.196,0.992
0.126,0.717,0.158,0.9983
0.175,0.755,0.07,-0.9905
0.147,0.738,0.115,-0.9968
0.159,0.693,0.147,-0.999
0.06,0.793,0.147,0.8255
0.144,0.757,0.099,-0.3828
0.154,0.684,0.163,0.9025
0.175,0.713,0.112,-0.9972
0.095,0.734,0.171,0.9994
0.14,0.73,0.13,-0.8607
0.1,0.734,0.166,0.7047
0.127,0.679,0.194,0.9999
0.057,0.738,0.204,0.9943
0.139,0.728,0.132,0.1494
0.104,0.729,0.167,0.9999
0.152,0.692,0.155,-0.882
0.111,0.729,0.16,0.9384
0.155,0.63,0.215,0.9995
0.11,0.706,0.184,0.9998
0.086,0.754,0.16,0.9682
0.0,1.0,0.0,0.0
0.199,0.641,0.16,-0.9714
0.156,0.771,0.073,-0.993
0.148,0.71,0.142,-0.8611
0.153,0.718,0.129,-0.9974
0.143,0.754,0.103,-0.9721
0.134,0.712,0.155,0.9994
0.115,0.754,0.132,0.9963
0.144,0.635,0.22,0.9964
0.126,0.691,0.183,0.9999
0.118,0.76,0.122,0.7067
0.109,0.746,0.145,0.9448
0.099,0.733,0.168,0.9996
0.3,0.61,0.09,-0.9297
0.108,0.787,0.105,-0.2852
0.105,0.841,0.053,-0.972
0.157,0.693,0.149,-0.9037
0.14,0.727,0.134,-0.9864
0.111,0.72,0.169,0.9998
0.094,0.755,0.151,0.9999
0.132,0.764,0.103,-0.8137
0.082,0.782,0.136,0.9775
0.292,0.654,0.054,-0.9985
0.154,0.69,0.155,0.3315
0.1,0.715,0.185,0.9988
0.172,0.694,0.135,-0.9619
0.14,0.71,0.151,0.582
0.163,0.706,0.131,-0.9997
0.142,0.705,0.154,0.9941
0.179,0.671,0.15,-0.9998
0.104,0.754,0.142,0.9831
0.07,0.769,0.161,1.0
0.099,0.72,0.181,0.9999
0.094,0.736,0.171,0.9221
0.152,0.715,0.133,-0.5583
0.098,0.627,0.275,0.9996
0.09,0.803,0.106,0.4904
0.181,0.676,0.143,-0.998
0.1,0.684,0.216,1.0
0.145,0.828,0.027,-0.8538
0.131,0.741,0.128,-0.3593
0.193,0.701,0.105,-0.5046
0.139,0.715,0.147,0.9796
0.14,0.702,0.159,0.9537
0.204,0.688,0.107,-0.9857
0.119,0.699,0.182,0.9999
0.061,0.71,0.23,0.9857
0.238,0.659,0.103,-0.9791
0.091,0.762,0.148,0.9434
0.233,0.622,0.145,-0.659
0.081,0.73,0.188,0.9996
0.114,0.803,0.083,-0.9747
0.11,0.696,0.194,0.9346
0.176,0.686,0.138,-0.4364
0.147,0.648,0.205,0.9984
0.076,0.742,0.181,1.0
0.1,0.712,0.188,0.9998
0.125,0.724,0.151,0.9995
0.311,0.621,0.068,-0.996
0.114,0.743,0.143,0.9955
0.104,0.703,0.193,0.9998
0.107,0.761,0.133,0.9967
0.134,0.673,0.193,0.9973
0.124,0.739,0.137,0.9978
0.187,0.55,0.263,-0.0644
0.116,0.733,0.151,0.9811
0.052,0.893,0.055,-0.0258
0.104,0.738,0.158,0.9974
0.133,0.725,0.143,0.9864
0.169,0.748,0.083,-0.9756
0.118,0.716,0.166,0.9999
0.127,0.711,0.162,0.9958
0.138,0.685,0.177,0.8969
0.13,0.781,0.089,-0.9737
0.112,0.637,0.252,0.9569
0.121,0.748,0.13,-0.3685
0.133,0.747,0.121,-0.9706
0.278,0.587,0.135,-0.9996
0.11,0.748,0.143,0.9836
0.06,0.94,0.0,-0.6705
0.097,0.701,0.202,0.9994
0.267,0.733,0.0,-0.926
0.197,0.627,0.176,-0.8511
0.18,0.733,0.087,-0.9321
0.199,0.667,0.133,-1.0
0.143,0.616,0.242,0.9958
0.118,0.774,0.109,-0.9764
0.118,0.728,0.154,0.9998
0.2,0.685,0.115,-0.9963
0.088,0.645,0.266,0.9997
0.041,0.851,0.108,0.9186
0.154,0.701,0.145,-0.9906
0.161,0.676,0.163,-0.951
0.145,0.723,0.132,-0.9932
0.142,0.698,0.16,0.9872
0.176,0.705,0.119,-0.9964
0.105,0.718,0.177,0.9967
0.07,0.779,0.151,0.957
0.16,0.788,0.052,-0.9698
0.096,0.742,0.162,0.9995
0.133,0.692,0.175,0.8718
0.09,0.721,0.189,1.0
0.183,0.679,0.139,-0.9998
0.117,0.716,0.167,0.9997
0.101,0.705,0.194,0.9996
0.09,0.727,0.182,0.9997
0.122,0.76,0.118,0.3016
0.097,0.725,0.178,0.991
0.164,0.709,0.127,-0.6084
0.127,0.745,0.128,0.6429
0.096,0.726,0.178,0.9981
0.085,0.792,0.122,0.9925
0.193,0.706,0.101,-0.983
0.136,0.749,0.115,-0.9993
0.089,0.635,0.276,0.9851
0.234,0.613,0.153,-0.9969
0.214,0.663,0.123,-0.9897
0.095,0.78,0.125,0.9552
0.136,0.737,0.127,-0.9474
0.092,0.75,0.159,0.9999
0.267,0.673,0.06,-0.9255
0.171,0.644,0.185,-0.4612
0.169,0.751,0.08,-0.9974
0.164,0.729,0.106,-0.9998
0.115,0.836,0.049,-0.7519
0.076,0.889,0.035,-0.7281
0.151,0.671,0.178,0.9958
0.102,0.757,0.141,0.9996
0.123,0.716,0.16,0.9998
0.214,0.679,0.107,-0.9952
0.201,0.547,0.252,0.2819
0.088,0.74,0.172,0.9994
0.206,0.668,0.126,-0.9979
0.09,0.849,0.061,-0.7988
0.146,0.699,0.155,0.8545
0.163,0.695,0.142,-0.9819
0.098,0.739,0.163,0.9999
0.151,0.758,0.091,-0.9821
0.115,0.669,0.216,0.9921
0.13,0.613,0.257,0.8624
0.196,0.709,0.095,-0.9897
0.123,0.727,0.149,0.9939
0.151,0.744,0.106,-0.9778
0.179,0.642,0.179,-0.023
0.123,0.649,0.228,1.0
0.128,0.741,0.131,-0.4209
0.132,0.764,0.103,-0.9864
0.109,0.786,0.105,-0.3091
0.164,0.72,0.116,-0.9993
0.11,0.739,0.151,0.9998
0.059,0.793,0.148,0.9965
0.083,0.847,0.07,-0.1531
0.208,0.609,0.182,-0.8593
0.23,0.657,0.113,-0.97
0.2,0.726,0.074,-0.9953
0.119,0.793,0.089,-0.9661
0.16,0.738,0.102,-0.9973
0.156,0.675,0.169,0.5619
0.217,0.658,0.125,-0.9507
0.104,0.823,0.072,-0.9178
0.107,0.836,0.056,-0.9053
0.105,0.824,0.071,-0.8406
0.228,0.738,0.035,-0.9978
0.199,0.711,0.09,-0.9988
0.113,0.743,0.144,0.9996
0.141,0.694,0.165,0.4046
0.111,0.701,0.188,0.9996
0.143,0.697,0.16,0.9977
0.237,0.601,0.162,-0.9753
0.138,0.731,0.131,0.5567
0.158,0.732,0.11,-0.8491
0.103,0.718,0.179,0.9951
0.078,0.73,0.192,0.9983
0.126,0.801,0.074,-0.9988
0.104,0.736,0.16,0.9999
0.066,0.762,0.172,0.9971
0.025,0.815,0.16,0.9989
0.129,0.69,0.181,0.9999
0.239,0.597,0.164,-0.9941
0.133,0.677,0.19,0.9992
0.112,0.711,0.177,0.9441
0.157,0.671,0.172,0.832
0.074,0.803,0.123,0.7663
0.073,0.797,0.13,0.9968
0.102,0.814,0.084,-0.9903
0.171,0.584,0.245,0.0516
0.181,0.642,0.177,-0.4751
0.118,0.719,0.163,0.9984
0.166,0.683,0.152,-0.9704
0.169,0.668,0.163,-0.4263
0.192,0.675,0.134,-0.9994
0.172,0.65,0.178,-0.8412
0.133,0.665,0.203,0.9966
0.125,0.72,0.155,0.9985
0.127,0.716,0.157,0.8953
0.097,0.617,0.286,0.9769
0.249,0.669,0.082,-0.6135
0.107,0.721,0.172,0.9975
0.115,0.762,0.123,0.4896
0.114,0.716,0.17,0.9999
0.112,0.782,0.106,-0.9768
0.096,0.734,0.17,0.9961
0.161,0.712,0.127,-0.9726
0.118,0.74,0.142,0.9995
0.138,0.74,0.122,-0.9979
0.108,0.685,0.207,0.9992
0.127,0.699,0.174,0.9964
0.182,0.631,0.187,-0.2922
0.105,0.66,0.235,0.9837
0.0,0.771,0.229,0.7606
0.18,0.765,0.055,-0.9878
0.13,0.731,0.139,0.8999
0.192,0.638,0.17,-0.8593
0.146,0.687,0.167,0.1459
0.133,0.718,0.149,0.7411
0.158,0.696,0.146,-0.8302
0.185,0.752,0.062,-0.9994
0.224,0.685,0.091,-0.9994
0.131,0.7,0.169,0.9979
0.127,0.724,0.15,0.7003
0.084,0.805,0.111,0.7912
0.114,0.756,0.13,0.9959
0.126,0.684,0.19,0.8076
0.082,0.706,0.212,0.9983
0.104,0.767,0.129,0.9983
0.126,0.695,0.179,0.9843
0.111,0.771,0.118,0.9489
0.145,0.722,0.133,-0.9976
0.148,0.535,0.317,0.9832
0.145,0.639,0.216,0.9993
0.115,0.71,0.175,0.9999
0.18,0.64,0.18,-0.9752
0.181,0.682,0.138,-0.7569
0.094,0.784,0.123,0.7528
0.117,0.745,0.138,0.7018
0.089,0.716,0.195,0.9995
0.149,0.73,0.12,-0.9973
0.136,0.708,0.157,0.9957
0.111,0.662,0.227,0.9999
0.137,0.789,0.074,-0.893
0.13,0.743,0.127,-0.9927
0.1,0.746,0.154,0.9869
0.088,0.815,0.097,0.6245
0.153,0.665,0.182,-0.0181
0.109,0.714,0.177,0.9996
0.153,0.723,0.124,-0.9646
0.108,0.744,0.149,0.9998
0.137,0.734,0.129,-0.7469
0.146,0.79,0.065,-0.9883
0.12,0.752,0.128,0.9551
0.112,0.762,0.127,0.9917
0.115,0.719,0.165,0.9995
0.111,0.764,0.125,0.8794
0.089,0.787,0.124,0.9973
0.145,0.747,0.108,-0.9989
0.089,0.785,0.126,0.9977
0.129,0.717,0.154,0.9952
0.065,0.734,0.201,0.9932
0.072,0.725,0.203,0.9985
0.077,0.877,0.046,-0.565
0.151,0.783,0.066,-0.9985
0.117,0.697,0.186,0.9877
0.049,0.698,0.254,0.9891
0.106,0.785,0.109,0.1884
0.106,0.74,0.153,0.9384
0.146,0.74,0.114,-0.9993
0.067,0.714,0.219,0.9963
0.18,0.727,0.092,-0.9961
0.15,0.76,0.09,-0.9773
0.1,0.659,0.242,0.9986
0.142,0.733,0.126,-0.9866
0.149,0.727,0.124,-0.7996
0.158,0.735,0.107,-0.8273
0.106,0.824,0.07,-0.3318
0.114,0.751,0.135,0.1896
0.091,0.793,0.117,0.9992
0.142,0.686,0.171,0.9799
0.093,0.77,0.137,0.9967
0.199,0.567,0.234,0.0356
0.094,0.762,0.144,0.8477
0.097,0.74,0.163,0.9683
0.122,0.742,0.136,0.8582
0.099,0.762,0.139,0.9965
0.109,0.788,0.103,-0.8818
0.049,0.806,0.145,0.9904
0.188,0.675,0.137,-0.9049
0.197,0.65,0.153,-0.9947
0.197,0.803,0.0,-0.7269
0.076,0.763,0.161,1.0
0.07,0.774,0.156,0.9789
0.1,0.771,0.129,0.9967
0.068,0.736,0.196,0.9972
0.151,0.723,0.127,-0.9974
0.143,0.675,0.182,0.9998
0.201,0.615,0.184,-0.912
0.17,0.696,0.134,-0.998
0.133,0.797,0.07,-0.9212
0.132,0.711,0.157,0.9984
0.114,0.693,0.193,0.9993
0.168,0.667,0.165,0.6996
0.144,0.728,0.128,-0.9943
0.115,0.698,0.187,0.9991
0.074,0.767,0.159,0.9938
0.162,0.608,0.23,0.7003
0.079,0.76,0.161,0.9955
0.141,0.737,0.123,-0.9993
0.215,0.662,0.123,-0.966
0.134,0.721,0.145,0.7733
0.15,0.728,0.122,-0.9904
0.121,0.731,0.147,0.993
0.103,0.734,0.163,0.9999
0.108,0.703,0.189,0.9962
0.142,0.812,0.045,-0.9687
0.098,0.743,0.159,0.9968
0.139,0.71,0.151,0.5882
0.165,0.727,0.108,-0.9997
0.15,0.746,0.105,-0.9822
0.17,0.722,0.108,-0.9948
0.138,0.723,0.14,-0.9607
0.172,0.695,0.133,-0.9999
0.128,0.739,0.133,0.3213
0.17,0.684,0.145,-0.9964
0.119,0.724,0.158,0.9998
0.066,0.767,0.168,0.8088
0.111,0.722,0.167,0.998
0.101,0.727,0.171,0.9997
0.157,0.678,0.164,0.4785
0.146,0.767,0.086,-0.9758
0.179,0.693,0.128,-0.9901
0.362,0.538,0.1,-0.6597
0.1,0.755,0.145,0.9863
0.158,0.724,0.119,-0.9866
0.129,0.673,0.198,0.9984
0.132,0.759,0.109,-0.9794
0.167,0.64,0.193,0.9962
0.092,0.694,0.215,0.9232
0.147,0.729,0.124,-0.9248
0.141,0.747,0.112,-0.9949
0.163,0.69,0.147,-0.9719
0.162,0.677,0.161,-0.9538
0.181,0.71,0.11,-0.9906
0.073,0.854,0.073,-0.2194
0.1,0.713,0.187,0.9998
0.1,0.758,0.142,0.9953
0.122,0.778,0.1,-0.985
0.121,0.72,0.159,0.9988
0.076,0.766,0.157,0.9991
0.122,0.693,0.185,0.9994
0.131,0.69,0.179,0.9999
0.065,0.789,0.146,0.9983
0.157,0.723,0.12,-0.9867
0.161,0.679,0.16,0.1313
0.093,0.753,0.154,0.9922
0.122,0.713,0.166,0.9985
0.141,0.694,0.165,0.9981
0.15,0.749,0.101,-0.979
0.0,0.642,0.358,0.9716
0.149,0.709,0.142,-0.9909
0.073,0.735,0.192,0.9994
0.105,0.749,0.146,0.975
0.027,0.846,0.127,0.7713
0.1,0.706,0.193,0.9969
0.124,0.746,0.13,-0.5388
0.067,0.718,0.215,0.9987
0.178,0.672,0.15,-0.8784
0.072,0.787,0.141,0.9876
0.09,0.718,0.192,0.9999
0.216,0.697,0.087,-0.9993
0.226,0.624,0.15,-0.9951
0.223,0.702,0.075,-0.9952
0.126,0.714,0.159,0.9997
0.141,0.686,0.173,0.9949
0.142,0.717,0.141,-0.7165
0.115,0.731,0.154,0.9977
0.093,0.776,0.131,0.9819
0.056,0.79,0.153,0.9249
0.075,0.765,0.16,0.9991
0.222,0.677,0.101,-0.9981
0.138,0.697,0.165,0.9997
0.133,0.793,0.075,-0.9848
0.246,0.614,0.14,-0.9959
